,annRev,maxDebt,maxComplex,maxFund,hedge_entropy,fund_hedge_mi,debt_hedge_mi,power_hedge_mi,hedge_total_mi,withdrawal_entropy,fund_withdrawal_mi,debt_withdrawal_mi,power_withdrawal_mi,cash_withdrawal_mi,withdrawal_total_mi
8,10.36835396,3.0417220830000002,1.0,29.366689899999997,2.0236903644029294,0.8763608152984569,0.04583366821438047,0.06566773687065945,0.9878622203834968,3.5487647874786923,0.3577298944471634,0.05227282815820991,0.034672961675039714,0.4666377805982983,0.9113134648787113
9,10.167343699999998,2.514740432,1.0,38.45559111,2.5040221155633926,0.8620226095354772,0.050416933341302164,0.059505307673792036,0.9719448505505713,3.6541284715306075,0.35705584976122917,0.05293753491734334,0.033930524662633396,0.4698432337286094,0.9137671430698153
6,10.44143151,4.037596742,1.0,25.28985294,1.9672838688605105,0.8734498774967437,0.10749048624470085,0.06185386208206607,1.0427942258235106,3.658765033353691,0.3666077070026259,0.06862710381207757,0.035811014989373384,0.4392288899702128,0.9102747157742896
1,10.59103633,8.424324262,1.0,19.31303525,1.631225952153393,0.7442303992128873,0.11244270128953661,0.12125660363453164,0.9779297041369555,3.758400849600609,0.38486349926690583,0.06865133775387047,0.03577387492557071,0.438756070593602,0.928044782539949
7,10.81824134,18.97811602,0.81328,7.322478502,1.1379861885942133,0.27576258403784626,0.8125788964491041,0.09992931281848903,1.1882707933054395,3.2713331899994325,0.4471424749746103,0.1449378802623038,0.04413334568918209,0.375030041075496,1.011243742001592
4,10.51668751,5.779571054,1.0,22.11656863,1.8209634635749175,0.8129211507488056,0.08321789432248697,0.09105492418823538,0.9871939692595278,3.6281506396431986,0.37795087232628305,0.04713374122170971,0.03669714263592441,0.44842062734558236,0.9102023835294994
0,10.66644121,11.65045892,1.0,14.77837911,1.8855949914358483,0.7671567758784574,0.27128237122907206,0.07902069911787035,1.1174598462254,3.6920435344395295,0.4034445637338083,0.073612169410548,0.03452005253376072,0.40765879672682975,0.9192355824049467
2,10.89522446,24.31551318,0.5644600000000001,3.8005068769999997,0.650601515526392,0.19199049249524464,0.8039049551669988,0.14258214343951436,1.1384775911017577,2.793144595109527,0.47502736736728546,0.19469902190646135,0.047747705433539615,0.3848131223493094,1.1022872170565958
5,10.2904272,2.664337648,1.0,31.88622613,2.865637916608941,0.8926593505082575,0.0986265478759864,0.04594173422483645,1.0372276326090804,3.573307747928859,0.35957140402488574,0.059892736214998576,0.03647317605773601,0.46374135215717566,0.919678668454796
3,10.74224429,15.14476145,1.0,11.04180165,1.3269907682426332,0.5255370289547336,0.5733914053058939,0.08634240643017986,1.1852708406908075,3.3841286710444174,0.4058159361076393,0.10931756755870772,0.038840924510518425,0.3479252771837193,0.9018997053605848
