gen,wmnth,wyr
207955600,7,2013
216283400,8,2013
132239200,9,2013
90128400,10,2013
68804000,11,2013
60141100,12,2013
75346300,1,2014
69643400,2,2014
60876000,3,2014
53752200,4,2014
55664700,5,2014
83490700,6,2014
123038600,7,2014
174977400,8,2014
104935100,9,2014
85819000,10,2014
84223800,11,2014
67065900,12,2014
58921600,1,2015
64230200,2,2015
70902600,3,2015
70677100,4,2015
61513900,5,2015
103956500,6,2015
111376700,7,2015
122234700,8,2015
75429600,9,2015
127047800,10,2015
126026900,11,2015
120262500,12,2015
68601400,1,2016
43491400,2,2016
70696700,3,2016
66430600,4,2016
129474700,5,2016
198236990,6,2016
225362800,7,2016
182541720,8,2016
150230870,9,2016
110035800,10,2016
106364230,11,2016
95909370,12,2016
102964300,1,2017
92843820,2,2017
116972100,3,2017
96887635,4,2017
93322600,5,2017
218478840,6,2017
232687830,7,2017
238129470,8,2017
221270170,9,2017
232684270,10,2017
185487800,11,2017
111889580,12,2017
64160360,1,2018
30341840,2,2018
55436180,3,2018
43629370,4,2018
61607110,5,2018
40732000,6,2018
