Course,Year,Month,SWE,Meas.Date,Name
157,1980,2,26.1,24-JAN-1980,'DANA MEADOWS'
157,1980,4,44.7,25-MAR-1980,'DANA MEADOWS'
157,1980,5,39.8,07-MAY-1980,'DANA MEADOWS'
157,1981,2,12.0,06-FEB-1981,'DANA MEADOWS'
157,1981,3,14.1,26-FEB-1981,'DANA MEADOWS'
157,1981,4,26.5,28-MAR-1981,'DANA MEADOWS'
157,1982,2,29.8,30-JAN-1982,'DANA MEADOWS'
157,1982,3,34.6,25-FEB-1982,'DANA MEADOWS'
157,1982,4,49.8,08-APR-1982,'DANA MEADOWS'
157,1983,2,36.0,01-FEB-1983,'DANA MEADOWS'
157,1983,3,53.7,08-MAR-1983,'DANA MEADOWS'
157,1983,4,62.7,28-MAR-1983,'DANA MEADOWS'
157,1983,6,61.6,24-MAY-1983,'DANA MEADOWS'
157,1984,2,29.4,31-JAN-1984,'DANA MEADOWS'
157,1984,3,36.5,27-FEB-1984,'DANA MEADOWS'
157,1984,4,36.5,29-MAR-1984,'DANA MEADOWS'
157,1984,5,37.9,28-APR-1984,'DANA MEADOWS'
157,1985,2,20.1,30-JAN-1985,'DANA MEADOWS'
157,1985,3,22.1,26-FEB-1985,'DANA MEADOWS'
157,1985,4,25.1,26-MAR-1985,'DANA MEADOWS'
157,1985,5,21.8,27-APR-1985,'DANA MEADOWS'
157,1986,2,17.4,29-JAN-1986,'DANA MEADOWS'
157,1986,3,41.6,27-FEB-1986,'DANA MEADOWS'
157,1986,4,47.9,01-APR-1986,'DANA MEADOWS'
157,1986,5,49.8,26-APR-1986,'DANA MEADOWS'
157,1987,2,5.6,28-JAN-1987,'DANA MEADOWS'
157,1987,3,11.4,02-MAR-1987,'DANA MEADOWS'
157,1987,4,18.5,01-APR-1987,'DANA MEADOWS'
157,1987,5,8.6,30-APR-1987,'DANA MEADOWS'
157,1988,2,21.0,27-JAN-1988,'DANA MEADOWS'
157,1988,3,19.7,28-FEB-1988,'DANA MEADOWS'
157,1988,4,19.7,30-MAR-1988,'DANA MEADOWS'
157,1988,5,14.6,27-APR-1988,'DANA MEADOWS'
157,1989,2,17.2,01-FEB-1989,'DANA MEADOWS'
157,1989,3,18.5,28-FEB-1989,'DANA MEADOWS'
157,1989,4,26.3,30-MAR-1989,'DANA MEADOWS'
157,1989,5,21.2,29-APR-1989,'DANA MEADOWS'
157,1990,2,5.4,01-FEB-1990,'DANA MEADOWS'
157,1990,3,14.5,25-FEB-1990,'DANA MEADOWS'
157,1990,4,15.2,01-APR-1990,'DANA MEADOWS'
157,1990,5,10.4,26-APR-1990,'DANA MEADOWS'
157,1991,1,0.0,01-JAN-1991,'DANA MEADOWS'
157,1991,2,2.5,29-JAN-1991,'DANA MEADOWS'
157,1991,3,3.7,27-FEB-1991,'DANA MEADOWS'
157,1991,4,21.4,27-MAR-1991,'DANA MEADOWS'
157,1991,5,19.8,25-APR-1991,'DANA MEADOWS'
157,1992,2,9.4,30-JAN-1992,'DANA MEADOWS'
157,1992,3,15.9,26-FEB-1992,'DANA MEADOWS'
157,1992,4,17.3,28-MAR-1992,'DANA MEADOWS'
157,1992,5,12.1,25-APR-1992,'DANA MEADOWS'
157,1993,2,28.4,25-JAN-1993,'DANA MEADOWS'
157,1993,3,37.4,24-FEB-1993,'DANA MEADOWS'
157,1993,4,41.1,27-MAR-1993,'DANA MEADOWS'
157,1993,5,42.4,24-APR-1993,'DANA MEADOWS'
157,1994,2,7.1,31-JAN-1994,'DANA MEADOWS'
157,1994,3,13.8,25-FEB-1994,'DANA MEADOWS'
157,1994,4,17.6,29-MAR-1994,'DANA MEADOWS'
157,1994,5,13.1,28-APR-1994,'DANA MEADOWS'
157,1995,2,32.0,28-JAN-1995,'DANA MEADOWS'
157,1995,3,33.4,22-FEB-1995,'DANA MEADOWS'
157,1995,4,52.5,26-MAR-1995,'DANA MEADOWS'
157,1995,5,52.3,27-APR-1995,'DANA MEADOWS'
157,1996,2,16.4,26-JAN-1996,'DANA MEADOWS'
157,1996,3,31.2,23-FEB-1996,'DANA MEADOWS'
157,1996,4,35.7,25-MAR-1996,'DANA MEADOWS'
157,1996,5,37.5,27-APR-1996,'DANA MEADOWS'
157,1997,2,48.3,30-JAN-1997,'DANA MEADOWS'
157,1997,3,43.8,23-FEB-1997,'DANA MEADOWS'
157,1997,4,40.0,30-MAR-1997,'DANA MEADOWS'
157,1997,5,38.4,26-APR-1997,'DANA MEADOWS'
157,1998,2,19.1,25-JAN-1998,'DANA MEADOWS'
157,1998,3,41.3,26-FEB-1998,'DANA MEADOWS'
157,1998,4,45.2,26-MAR-1998,'DANA MEADOWS'
157,1998,5,47.6,24-APR-1998,'DANA MEADOWS'
157,1999,2,18.0,29-JAN-1999,'DANA MEADOWS'
157,1999,3,29.4,26-FEB-1999,'DANA MEADOWS'
157,1999,4,33.0,28-MAR-1999,'DANA MEADOWS'
157,1999,5,34.7,25-APR-1999,'DANA MEADOWS'
157,2000,2,12.3,30-JAN-2000,'DANA MEADOWS'
157,2000,3,22.5,25-FEB-2000,'DANA MEADOWS'
157,2000,4,28.3,27-MAR-2000,'DANA MEADOWS'
157,2000,5,22.3,01-MAY-2000,'DANA MEADOWS'
157,2001,2,9.8,01-FEB-2001,'DANA MEADOWS'
157,2001,3,17.1,26-FEB-2001,'DANA MEADOWS'
157,2001,4,21.0,27-MAR-2001,'DANA MEADOWS'
157,2001,5,23.0,25-APR-2001,'DANA MEADOWS'
157,2002,2,22.1,31-JAN-2002,'DANA MEADOWS'
157,2002,3,26.0,24-FEB-2002,'DANA MEADOWS'
157,2002,4,28.4,27-MAR-2002,'DANA MEADOWS'
157,2002,5,22.5,30-APR-2002,'DANA MEADOWS'
157,2003,2,21.4,30-JAN-2003,'DANA MEADOWS'
157,2003,3,22.3,25-FEB-2003,'DANA MEADOWS'
157,2003,4,24.3,30-MAR-2003,'DANA MEADOWS'
157,2003,5,29.3,30-APR-2003,'DANA MEADOWS'
157,2004,2,20.0,27-JAN-2004,'DANA MEADOWS'
157,2004,3,29.4,03-MAR-2004,'DANA MEADOWS'
157,2004,4,27.4,29-MAR-2004,'DANA MEADOWS'
157,2004,5,18.7,29-APR-2004,'DANA MEADOWS'
157,2005,2,27.4,27-JAN-2005,'DANA MEADOWS'
157,2005,3,35.0,24-FEB-2005,'DANA MEADOWS'
157,2005,4,40.3,27-MAR-2005,'DANA MEADOWS'
157,2005,5,42.9,29-APR-2005,'DANA MEADOWS'
157,2006,2,31.3,27-JAN-2006,'DANA MEADOWS'
157,2006,3,34.4,26-FEB-2006,'DANA MEADOWS'
157,2006,4,47.6,30-MAR-2006,'DANA MEADOWS'
157,2006,5,54.4,28-APR-2006,'DANA MEADOWS'
157,2007,2,9.3,25-JAN-2007,'DANA MEADOWS'
157,2007,3,16.9,26-FEB-2007,'DANA MEADOWS'
157,2007,4,20.1,30-MAR-2007,'DANA MEADOWS'
157,2007,5,16.8,25-APR-2007,'DANA MEADOWS'
157,2008,2,18.5,28-JAN-2008,'DANA MEADOWS'
