,annRev,maxDebt,maxComplex,maxFund,hedge_entropy,fund_hedge_mi,debt_hedge_mi,power_hedge_mi,hedge_total_mi,withdrawal_entropy,fund_withdrawal_mi,debt_withdrawal_mi,power_withdrawal_mi,cash_withdrawal_mi,withdrawal_total_mi
384,10.86958995,25.53818481,0.047639999999999995,7.976450477,0.042398762378235075,0.1678744763421994,0.5740851571870308,0.08655104472286927,0.8285106782520995,2.8304776321861826,0.3779329870308783,0.09152346817402479,0.0013663844487916987,0.26160629982065614,0.732429139474351
192,10.81815115,20.83444577,0.7467,4.637936824,0.7857756756388787,0.29826703716749936,0.8077269576950635,0.0029254406696722886,1.1089194355322352,2.758309965085163,0.3993311042095024,0.13917486666275466,0.0016128848383917785,0.3886451855228605,0.9287640412335092
256,10.81986576,19.42800855,0.86798,6.354611001,1.1724834839141764,0.3113261931292264,0.8385760740202418,0.0025657816756341225,1.1524680488251025,3.2018546126411325,0.43659364987602833,0.1482514677576978,0.0015205558442340163,0.34063751049304797,0.9270031839710082
128,10.81950519,20.28581047,0.6926399999999999,5.8220350839999995,0.783430470169931,0.24764511985797244,0.6814057147038821,0.004525564022219961,0.9335763985840745,3.004296318228787,0.4055137432673566,0.13395016852085193,0.0015319937631863754,0.3568368138781758,0.8978327194295707
320,10.85928805,23.76680232,0.74668,1.329396924,0.8968997765941397,0.19890945253922104,0.727447623348355,0.00713283682595126,0.9334899127135273,2.2153743308413443,0.4462589849776472,0.2501285102934546,0.001866614744946176,0.41133785828208086,1.1095919682981288
64,10.05956314,11.50008929,1.0,0.3793927271,1.0967735284777673,0.3230090921698433,0.6775625993501083,0.14604432483289437,1.146616016352846,1.2900406574862382,0.5140161627126095,0.2541285336997703,0.0028350177032427266,0.3938458472361034,1.164825561351726
0,10.85218964,23.12854432,0.15064,8.996971866,0.13820544994426387,0.18675380476234546,0.6754914193352337,0.014469323956065613,0.8767145480536448,3.079607526980255,0.379686743801715,0.09946778740951914,0.0012873744320105885,0.27489122831643137,0.7553331339596762
1920,10.909607199999998,26.41319175,0.49232,0.8313046640999999,0.49949113377624504,0.1898845084008192,0.6247540784067271,0.026576876023636006,0.8412154628311823,1.953473552491985,0.4030315621440659,0.2098430611529606,0.001709312127142101,0.4925627402291479,1.1071466756533166
1088,10.60282574,13.70202319,1.0,8.02912919,3.056295468278511,0.5773875520146301,0.2059570072302832,0.20570857827560493,0.9890531375205183,3.336513747068889,0.41934325801542033,0.06494328240052914,0.001254474298804075,0.33544311375645075,0.8209841284712043
1984,10.85276716,22.89605887,0.19966,8.497256465,0.18995123905749334,0.19564877306586556,0.6808314516051149,0.02269650752972442,0.8991767322007049,2.9773616573718,0.379166667895784,0.09853281150996036,0.0013432197792749765,0.2773302223714733,0.7563729215564927
1152,9.90735693,5.767988913,1.0,6.637107902,1.1463409013374974,0.8832803117888223,0.323876917621193,0.0019952151417403155,1.2091524445517556,2.0242970663888213,0.4668790502837593,0.12179272771633468,0.0020299472851517198,0.3110160795206951,0.9017178048059408
1280,10.44967134,6.628704524,1.0,15.6620671,3.9442501591979884,0.42220056330944317,0.022866979705186946,0.31547947120152475,0.7605470142161549,3.515857375080029,0.37845511141405463,0.013506215688979995,0.0014865405608834314,0.3819366151193846,0.7753844827833026
