fund_hedge,fund_withdrawal,debt_hedge,debt_withdrawal,power_hedge,power_withdrawal,cash_in,action_hedge,action_withdrawal,policy
0.0,0.0,0.0,0.0,38.92310528413509,43.83266040919528,11.59799773929113,1.0058117938937348,-11.59799773929113,1766.0
11.59799773929113,11.443744369358559,0.0,0.0,43.83266040919528,36.064965150183184,11.053823309666512,0.8930841778931486,-11.053823309666512,1766.0
22.49756767902507,22.198350028894037,0.0,0.0,36.064965150183184,44.321694145357334,11.763561562712127,0.0,-2.3547724361059643,1766.0
24.553122465,24.2265659362155,0.0,0.0,44.321694145357334,38.394644706329984,29.35455224636435,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,38.394644706329984,40.51185931618794,0.766428935644484,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,40.51185931618794,42.53290098591249,-7.633878644163218,0.0,7.509110444163213,1766.0
16.717455492052288,16.495113334007993,0.12476820000000544,0.12651495480000552,42.53290098591249,41.27570638748705,30.58760763648599,0.8464431350398552,-8.058009130992009,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.27570638748705,38.2240034136366,14.949083854848126,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,38.2240034136366,41.24684067335327,10.821886936087935,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.24684067335327,41.43221877737269,15.458869589746726,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.43221877737269,36.72112989982161,11.230431560600366,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,36.72112989982161,41.049904218013076,30.73365957292536,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.049904218013076,34.06703121431663,7.753205721466401,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,34.06703121431663,43.1503192610242,8.529944461910489,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,43.1503192610242,37.59466244757346,25.44780391404261,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,37.59466244757346,40.08202384455493,10.824773926428065,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,40.08202384455493,44.941765474714224,10.321256603863134,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,44.941765474714224,38.412559695085456,6.746225640768756,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,38.412559695085456,38.30945823315004,20.191158352766124,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,38.30945823315004,45.35033481289909,7.659595339263134,0.0,-0.3265565287845007,1766.0
0.0,0.0,0.0,0.0,42.571186579205204,39.00326057810671,14.080100756845376,1.0055154989473372,-14.080100756845376,1766.0
14.080100756845376,13.892835416779333,0.0,0.0,39.00326057810671,41.87861105735845,18.71127024998396,0.8699156030545616,-10.660287048220669,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.87861105735845,40.51825726585557,4.203479328078743,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,40.51825726585557,39.04366706959063,-8.18737777012484,0.0,8.062609570124835,1766.0
16.163956366090666,15.948975746421661,0.12476820000000544,0.12651495480000552,39.04366706959063,44.11111615773037,10.76591457987357,0.8518586707134275,-8.60414671857834,1766.0
24.553122465,24.2265659362155,0.0,0.0,44.11111615773037,44.60681274071761,16.175790704462358,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,44.60681274071761,36.3035010592158,11.450052888442926,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,36.3035010592158,36.50024055151543,6.0844826801289855,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,36.50024055151543,41.75092995975759,18.003928915994052,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.75092995975759,41.429771064108294,-9.574018816623862,0.0,9.449250616623857,1766.0
14.777315319591644,14.580777025841074,0.12476820000000544,0.12651495480000552,41.429771064108294,40.536947367452505,16.62228221255729,0.8647557251059138,-9.972345439158927,1766.0
24.553122465,24.2265659362155,0.0,0.0,40.536947367452505,40.21650306750652,-10.457125567556218,0.0,10.332357367556213,1766.0
13.894208568659288,13.70941559469612,0.12476820000000544,0.12651495480000552,40.21650306750652,39.18518170351749,-1.118400957366072,0.873185770235704,0.9936327573660666,1766.0
12.715782837330053,12.546662925593564,0.12476820000000544,0.12651495480000552,39.18518170351749,40.42995410968444,5.807352632529832,0.884428598109773,-5.807352632529832,1766.0
18.354015558123397,18.109907151200357,0.0,0.0,40.42995410968444,41.88994185586006,10.812624947822286,0.8298665538149727,-6.443215313799644,1766.0
24.553122465,24.2265659362155,0.0,0.0,41.88994185586006,43.36164424605514,25.462320840030472,0.0,-0.3265565287845007,1766.0
24.553122465,24.2265659362155,0.0,0.0,43.36164424605514,42.45572429712136,-4.761562940328872,0.0,4.636794740328867,1766.0
19.589771195886634,19.329227238981343,0.12476820000000544,0.12651495480000552,42.45572429712136,39.62484861623637,10.810846210556171,0.8197784103097066,-5.223895226018659,1766.0
24.553122465,24.2265659362155,0.0,0.0,39.62484861623637,39.071396789466185,-3.0525038938838946,0.0,2.927735693883889,1766.0
21.29883024233161,21.0155558001086,0.12476820000000544,0.12651495480000552,39.071396789466185,44.90961695697607,6.685910434654988,0.8043051299475789,-3.5375666648914006,1766.0
